album_name,album_release_date,album_release_year,avg_dance
2_Cool_4_Skool,2013-06-12,2013,0.7174285714285714
BE,2020-11-20,2020,0.67825
Dark_Wild,2014-08-20,2014,0.6723125
Face_Yourself,2018-04-04,2018,0.5986666666666667
HYYH,2015-04-29,2015,0.5881
HYYH2,2015-11-30,2015,0.5356666666666666
LY_Answer,2018-08-24,2018,0.634
LY_Her,2017-09-18,2017,0.5826666666666667
LY_Tear,2018-05-18,2018,0.6524285714285715
MOTS_7,2020-02-21,2020,0.6324666666666666
MOTS_Journey,2020-07-14,2020,0.5933333333333333
MOTS_Persona,2019-04-12,2019,0.5845714285714285
ORUL,2013-09-11,2013,0.6514
Proof,2022-06-10,2022,0.648375
Skool_Luv_Affair,2014-05-14,2014,0.5748181818181818
Wake_Up,2014-12-24,2014,0.7078333333333333
Wings,2016-10-10,2016,0.5828666666666666
You_Never_Walk_Alone,2017-02-13,2017,0.61975
Young_Forever,2016-05-02,2016,0.512
Youth,2016-09-07,2016,0.5513333333333333
